year,region,round,team_a,team_b,team_a_seed,team_b_seed,winner
2019,Midwest,Sweet 16,north-carolina,auburn,1,5,auburn
2019,Midwest,Sweet 16,houston,kentucky,3,2,kentucky
2019,Midwest,Elite 8,auburn,kentucky,5,2,auburn
2019,South,First,virginia,gardner-webb,1,16,virginia
2019,South,First,mississippi,oklahoma,8,9,oklahoma
2019,South,First,wisconsin,oregon,5,12,oregon
2019,South,First,kansas-state,california-irvine,4,13,california-irvine
2019,South,First,villanova,saint-marys-ca,6,11,villanova
2019,South,First,purdue,old-dominion,3,14,purdue
2019,South,First,cincinnati,iowa,7,10,iowa
2019,South,First,tennessee,colgate,2,15,tennessee
2019,South,Second,virginia,oklahoma,1,9,virginia
2019,South,Second,oregon,california-irvine,12,13,oregon
2019,South,Second,villanova,purdue,6,3,purdue
2019,South,Second,iowa,tennessee,10,2,tennessee
2019,South,Sweet 16,virginia,oregon,1,12,virginia
2019,South,Sweet 16,purdue,tennessee,3,2,purdue
2019,South,Elite 8,virginia,purdue,1,3,virginia
2019,West,First,gonzaga,fairleigh-dickinson,1,16,gonzaga
